id,age,gender,sign
0,27,female,cancer
1,27,female,scorpio
2,28,male,taurus
3,28,female,sagittarius
4,47,male,virgo
5,48,female,virgo
6,56,female,leo
7,57,nb,leo
8,59,female,pisces
9,60,male,gemini
10,36,female,taurus
11,36,female,gemini
12,22,female,sagittarius
13,24,male,capricorn
14,28,female,cancer
15,28,female,scorpio
16,54,female,sagittarius
17,55,female,aries
18,29,male,cancer
19,28,female,pisces
20,51,male,libra
21,49,female,gemini
22,39,male,scorpio
23,40,female,leo
24,34,male,taurus
25,35,male,aquarius
26,34,female,cancer
27,34,nb,capricorn
28,47,male,cancer
29,46,female,leo
30,31,male,sagittarius
31,32,male,aquarius
32,34,female,leo
33,35,nb,cancer
34,43,male,aries
35,43,female,cancer
36,33,female,aries
37,32,male,cancer
38,47,female,capricorn
39,49,female,sagittarius
40,58,male,scorpio
41,57,female,aquarius
42,18,nb,aries
43,18,nb,leo
44,24,male,leo
45,23,male,taurus
46,35,male,taurus
47,34,male,scorpio
48,35,male,cancer
49,36,female,cancer
50,52,female,cancer
51,51,female,gemini
52,45,male,cancer
53,45,female,capricorn
54,35,female,pisces
55,35,female,aquarius
56,39,male,aries
57,38,male,libra
58,47,female,scorpio
59,47,male,leo
60,40,female,libra
61,38,male,scorpio
62,39,male,libra
63,38,male,libra
64,39,female,taurus
65,41,male,scorpio
66,44,female,gemini
67,42,male,aquarius
68,52,male,taurus
69,54,female,gemini
70,26,male,pisces
71,26,female,capricorn
72,26,male,virgo
73,22,male,gemini
74,20,male,leo
75,20,female,aquarius
76,43,female,capricorn
77,42,female,gemini
78,39,nb,scorpio
79,39,nb,scorpio
80,19,male,capricorn
81,18,male,sagittarius
82,20,female,taurus
83,19,female,libra
84,26,male,capricorn
85,27,female,leo
86,34,female,cancer
87,32,male,gemini
88,21,male,sagittarius
89,21,female,libra
90,51,female,gemini
91,50,male,sagittarius
92,56,male,capricorn
93,55,male,cancer
94,51,female,scorpio
95,53,female,leo
96,45,female,capricorn
97,45,male,sagittarius
98,45,male,aries
99,48,male,cancer
100,37,female,libra
101,39,nb,capricorn
102,51,female,scorpio
103,51,nb,sagittarius
104,36,female,virgo
105,36,female,pisces
106,21,female,capricorn
107,21,female,taurus
108,53,female,capricorn
109,56,female,aquarius
110,25,male,virgo
111,22,nb,aquarius
112,22,female,sagittarius
113,22,female,aries
114,46,nb,cancer
115,46,female,gemini
116,26,female,leo
117,26,female,aries
118,59,female,aries
119,57,male,sagittarius
120,31,nb,virgo
121,31,female,libra
122,37,male,gemini
123,40,female,leo
124,59,female,sagittarius
125,59,male,sagittarius
126,33,male,pisces
127,30,female,scorpio
128,21,male,leo
129,21,female,taurus
130,22,female,leo
131,20,male,pisces
132,38,female,pisces
133,41,male,gemini
134,34,female,taurus
135,35,male,gemini
136,56,male,scorpio
137,56,male,gemini
138,31,male,scorpio
139,30,female,taurus
140,18,male,libra
141,18,female,pisces
142,26,male,leo
143,24,male,gemini
144,33,male,pisces
145,33,nb,aquarius
146,24,male,scorpio
147,27,female,scorpio
148,20,female,scorpio
149,22,male,capricorn
150,56,male,cancer
151,56,female,cancer
152,21,female,gemini
153,18,male,libra
154,55,male,cancer
155,55,male,libra
156,56,male,sagittarius
157,57,female,leo
158,51,male,aquarius
159,51,female,gemini
160,45,male,cancer
161,44,female,libra
